TweetDate,TweetText,TweetAuthor,TweetLocation,AllHashtags
2021-03-25 23:49:31,Happy Thursday everyone. Working 9 to 6pm. Got my second #CovidVaccine,missmichelle30,"Washington, USA",['CovidVaccine']
2021-03-25 23:49:25,Krispy Kreme's Free Donuts for Vaccinated People Sparks Blue-Check Twitter Duel to the Death... https://t.co/c31y2kSG7D #krispy #kreme #free #donuts #for #vaccinated #people #sparks #blue-check #twitter #duel #to #the #death,AnyPollApp,United States,"['krispy', 'kreme', 'free', 'donuts', 'for', 'vaccinated', 'people', 'sparks', 'blue', 'twitter', 'duel', 'to', 'the', 'death']"
2021-03-25 23:49:10,RT @rogosin: Rogosin is grateful to have our #dialysispatients receive the #COVID19vaccine at our dialysis centers across #NYC. This is an…,SilberjRogosin,"New York, New York","['dialysispatients', 'COVID19vaccine', 'NYC']"
2021-03-25 23:49:01,"RT @MyArgue: Look #Greghunt here is a  sentence for you:""Some more people got #vaccinated  today"",
Now please shut up. It is boring. You ar…",JELMECH,bobf WA,"['Greghunt', 'vaccinated']"
2021-03-25 23:48:52,".@KCBSRadio The News, Tonight:
-Reaction to Biden running in 2024
-Big tech CEO's on hot seat on Capitol Hill
-New #CovidVaccine news announced in CA
-Pelosi tells Dems-stay out of Newsom recall race
PLUS @KCBSAMFMTraffic Join me tonight at 7:03
https://t.co/2oSRFgXNqP",dmitchinson,"Sacramento, CA.",['CovidVaccine']
2021-03-25 23:48:52,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,MaryProffitt14,"Lexington, KY",[]
2021-03-25 23:48:48,RT @CountyVentura: The State has announced the COVID-19 vaccine eligibility expands April 1. The County of Ventura is aligned with the Stat…,CityofMoorpark,"Moorpark, CA",[]
2021-03-25 23:48:44,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,Blaq3G,,[]
2021-03-25 23:48:34,RT @phinandme: My new job at a vaccination site has me so busy these days! Sending love ❤️ and good vibes 😎 to my Twitter family and friend…,Betterw05759703,"Missouri, USA",[]
2021-03-25 23:48:27,"Look #Greghunt here is a  sentence for you:""Some more people got #vaccinated  today"",
Now please shut up. It is boring. You are expending far too much time #Announcing and not enough time doing your job.",MyArgue,Australian,"['Greghunt', 'vaccinated', 'Announcing']"
2021-03-25 23:48:21,"Audition selfie right before the pandemic lock down. Everything has changed except my smile.

#grateful🙏 #vaccinated #ImBack #staysafe #maskup #cdc #pandemic #quarantine #stayingpositive #thistooshallpass https://t.co/281c2mfRhb",ChewbaccasMama,United States Of America,"['grateful', 'vaccinated', 'ImBack', 'staysafe', 'maskup', 'cdc', 'pandemic', 'quarantine', 'stayingpositive', 'thistooshallpass']"
2021-03-25 23:48:13,"RT @LisaForbes_: Had my jab and even got a sticker for being so brave. 
It was painless and over in a second. 
Huge thanks to our wonderful…",seanny02,Peterborough,[]
2021-03-25 23:48:00,"Biden announced his new goal today of administering 200 million shots in his first 100 days! 💪 About 2.5 million vaccine doses are being administered every day in the United States.
#GetVaccinated #COVID19Vaccine 
https://t.co/s9gMdBSr77",MKE_Science,"Milwaukee, WI","['GetVaccinated', 'COVID19Vaccine']"
2021-03-25 23:47:55,🩹✨👍✨Y’all! Come get vaccinated!! Check out below - 24 hours of vaccines! This Monday to Tuesday!!🩹✨💪✨ #vaccinated #vaccine #vaccination #VaxFest #Ochsner https://t.co/wPXC0CNONj,healthy_new,"New Orleans, LA","['vaccinated', 'vaccine', 'vaccination', 'VaxFest', 'Ochsner']"
2021-03-25 23:47:43,"#vaccinated
One shot down - one to go ✅",notime2hate,New York,['vaccinated']
2021-03-25 23:47:39,"RT @THP_hospital: We are now inviting community members ages 𝟳𝟬+ to book #COVID19vaccine appointments in Peel Region. 

If you or someone y…",luxx_sloane,"Ontario, Canada",['COVID19vaccine']
2021-03-25 23:47:34,RT @CaccioppoliMike: To all the people posting photos of themselves after getting the #CovidVaccine ...do you post photos after your colono…,omniadeo,"San Francisco, CA",['CovidVaccine']
2021-03-25 23:47:34,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",Riley__Silver,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:47:31,"RT @KPIXtv: IT'S OFFICIAL!
@CAgovernor @GavinNewsom announced today, starting April 15th, everyone over 16-years-old can get the #CovidVacc…",PinkPixySprite,Under an Orange Sky.,[]
2021-03-25 23:47:23,Another #RCPA Fellow getting their #COVID19Vaccine  Nice work @DamanLangguth. https://t.co/9PgB7SxQ2v,PathologyRCPA,"Sydney, Australia","['RCPA', 'COVID19Vaccine']"
2021-03-25 23:47:19,"After undocumented immigrants denied #COVID19Vaccine, 
@Wellchildorg @LALabor @CHIRLA @InclusivAction @Carecen_LA &amp; other orgs denounce incidents, note that everyone is eligible for shot.
https://t.co/IUvwaPUK1V via @ocregister",roxanakopetman,Southern California News Group,['COVID19Vaccine']
2021-03-25 23:47:18,"RT @MaryLTrump: It's been a long fucking year. Have a donut.

#KrispyKreme #vaccinated",susangemmajax,,"['KrispyKreme', 'vaccinated']"
2021-03-25 23:47:14,"I am unable to get #vaccinated  and yet @Ask_Spectrum is Forcing me to pay cash at Walmart or their office.  Will not accept any electronic payments, putting my #health at risk.  Want to pay but #COVID19 ! Help @NCAGO @NCSecState",KylePar59617648,"Alabama, USA","['vaccinated', 'health', 'COVID19']"
2021-03-25 23:47:09,"RT @axidentaliberal: Are we finally done with this nonsense story about Biden doing a press conference

We've got a country to fix

We are…",Jay_USMC2,Fresh2 #ONEV1-Z30 #DemVoice1 B,[]
